"name","id","lat","lon"
"Mekoryuk, Mekoryuk Airport, AK","PAJZ",59.7266,-157.259
"Metlakatla, Metlakatla Seaplane Base, AK","PAKU",70.3308,-149.59801
"Kodiak, Kodiak Airport, AK","PFKW",60.7903,-161.444
"Minchumina, Minchumina Airport, AK","PAMB",58.9902,-159.05
"McGrath, McGrath Airport, AK","PADM",61.8643,-162.026
"Kivalina, Kivalina Airport, AK","PAMC",62.9529,-155.606
"Nelson Lagoon, AK","PAIN",63.7326,-148.911
"Mountain Village, AK","PAMY",60.3714,-166.271
"Klawock - Klawock Airport, AK","PAMM",55.13,-131.58
"Point Hope, Point Hope Airport, AK","PAMD",59.4499,-146.30701
"Noatak, Noatak Airport, AK","PAMH",63.886,-152.302
"Nenana Municipal Airport, AK","PAMO",62.0954,-163.68201
"Nikolai, AK","PANA",60.6903,-161.979
"McKinley Park, McKinley National Park Airport, AK","PAOU",56.0075,-161.16
"Koliganek, AK","PANN",64.5473,-149.07401
"New Stuyahok, AK","PANW",59.4499,-157.328
"Middleton Island Airport, AK","PAFS",63.0186,-154.358
"Manokotak, AK","PAWN",67.5661,-162.97501
"Quinhagak Airport, AK","PAOM",64.5122,-165.44501
"Napakiak Airport, AK","PFNO",66.8179,-161.019
"Northway, Northway Airport, AK","PAOR",62.9613,-141.929
"Scammon Bay, AK","PAQT",70.21,-151.006
"Port Heiden, Port Heiden Airport, AK","PPIT",60.9,-162.43
"Palmer, Palmer Municipal Airport, AK","PAAQ",61.5949,-149.08901
"Puntilla, AK","PAPG",56.8017,-132.94501
"Russian Mission, AK","PAPM",59.0114,-161.82001
"Noorvik, AK","PAPO",68.3488,-166.799
"Seward, AK","PPIZ",69.7329,-163.005
"Nome, Nome Airport, AK","PAAD",70.136,-146.29003
"Nunapitchuk Airport, AK","PAPH",56.9591,-158.633
"Portage, Portage Glacier, AK","PATO",60.78,-148.85
"Petersburg, AK","PAPT",62.1,-152.72
"Point Thomson Airstrip, AK","PAQH",59.7551,-161.845
"South Naknek Nr 2 Airport, AK","PAOT",66.8847,-162.599
"Platinum, AK","PARY",64.7272,-155.47
"Ruby, AK","PARS",61.77888,-161.31946
"Soldotna, AK","PASD",55.315,-160.52299
"Point Lay, Point Lay LRRS Airport, AK","PASA",63.6864,-170.493
"Nuiqsut, Nuiqsut Airport, AK","PACM",61.8453,-165.571
"Sand Point, AK","PASK",66.6001,-159.98599
"Shemya, Eareckson AFB, AK","PASO",59.4424,-151.70399
"Savoonga Airport, AK","PAWD",60.1269,-149.41901
"St. George, St. George Airport, AK","PAHX",62.6923,-159.569
"Ralph Wien Memorial Airport, AK","PFSH",64.3711,-161.224
"Seldovia, Seldovia Airport, AK","PASY",52.7123,174.114
"St. Mary's, St. Mary's Airport, AK","PASH",66.2496,-166.08911
"Shaktoolik Airport, AK","PASI",57.0471,-135.362
"Skagway, AK","PAGY",59.4601,-135.31599
"Sleetmute, AK","PASL",61.7005,-157.166
"Selawik, AK","PASX",60.4757,-151.034
"Sitka - Sitka Airport, AK","PFWS",58.7034,-157.008
"Talkeetna, Talkeetna Airport, AK","PAMK",63.4901,-162.11
"Shageluk Airport, AK","PAPB",56.5783,-169.662
"Tanana, Calhoun Memorial Airport, AK","PASM",62.0605,-163.302
"St. Paul Island, St. Paul Island Airport, AK","PASN",57.1673,-170.22
"St Michael Airport, AK","PATK",62.3205,-150.09399
"Shishmaref, Shishmaref Airport, AK","PATA",65.1744,-152.10899
"Valdez 2, AK","PATG",59.0528,-160.397
"Wainwright, Wainwright Airport, AK","PAOO",60.5414,-165.08701
"Unalakleet, AK","PAUN",63.8884,-160.799
"Decatur, Pryor Field, AL","PADU",53.9001,-166.54401
"Yakutat, AK","PAVD",61.1339,-146.248
"Togiac Village, Togiak Airport, AK","PAWI",70.638,-159.995
"Wasilla, Wasilla Airport, AK","PAWS",61.5717,-149.53999
"Wrangell, AK","PAWG",56.4843,-132.37
"Toksook Bay, AK","PAYA",59.5033,-139.66
"Craig Field / Selma, AL","KEET",33.177,-86.7828
"Albertville, Albertville Municipal Airport, AL","K8A0",34.22889,-86.25556
"Alexander City, Thomas C Russell Field Airport, AL","KALX",32.9147,-85.963
"Cairns Army Air Field / Ozark, AL","K79J",31.27672,-85.71099
"Birmingham, Birmingham International Airport, AL","KANB",33.5882,-85.8581
"Auburn-Opelika Airport, AL","KAUO",32.6151,-85.434
"Eufaula Municipal Airport, AL","KEKY",33.3129,-86.9259
"Andalusia, Andalusia-Opp Municipal Airport, AL","KBHM",33.5629,-86.7535
"Unalaska, Unalaska Airport, AK","KOZR",31.2757,-85.7134
"Enterprise Municipal Airport, AL","KSEM",32.3439,-86.9878
"Florala, Florala Municipal Airport, AL","KCMD",34.27,-86.85
"Anniston Metro Airport, AL","KDCU",34.6527,-86.9454
"Jack Edwards Airport, AL","KDYA",32.4638,-87.9541
"Dothan, Dothan Regional Airport, AL","KDHN",31.3213,-85.4496
"Cullman Regional Folsom Field, AL","KEDN",31.2997,-85.8999
"Bessemer Airport, AL","KEUF",31.9513,-85.1289
"Demopolis Municipal Airport, AL","KGZH",31.4158,-87.044
"Alabaster, Shelby County Airport, AL","K0J4",33.17833,-86.78167
"Fort Payne, Isbell Field Airport, AL","K4A9",34.47361,-85.72139
"Evergreen, Middleton Field, AL","KLOR",31.35,-85.75
"Fort Rucker, Lowe Army Heliport, AL","KGAD",33.9726,-86.089
"Mobile, Mobile Regional Airport, AL","K1M4",30.68833,-88.24556
"Hanchey AHP / Ozark, AL","KHEY",31.35,-85.65
"Huntsville, Huntsville International / Jones Field, AL","KHSV",34.6372,-86.7751
"Mac Crenshaw Memorial Airport, AL","KMDQ",34.8614,-86.5575
"Merkel Field Sylacauga Municipal Airport, AL","KJKA",30.2905,-87.6718
"Jasper Walker County Airport & Bevill Field, AL","KJFX",33.902,-87.3142
"Scottsboro Municipal Airport, AL","KPRN",31.8457,-86.6107
"Huntsville, Madison County Executive Airport, AL","KMXF",32.3829,-86.3658
"Gadsden, Gadsden Municipal Airport, AL","KSCD",33.1718,-86.3055
"Prattville - Grouby Field, AL","KBFM",30.6268,-88.0681
"Redstone Airfield, AL","KMOB",30.6912,-88.2428
"Montgomery, Dannelly Field, AL","KMGM",32.3006,-86.394
"Maxwell Air Force Base / Montgomery, AL","KMSL",34.7453,-87.6102
"Muscle Shoals, North West Alabama Regional Airport, AL","K1A9",34.74389,-87.59944
"Haleyville, Posey Field Airport, AL","KHUA",34.6787,-86.6848
"Clinton Memorial Airfield, AR","KSXS",31.37,-85.85
"Blytheville, Blytheville Municipal Airport, AR","K4A6",35.93889,-89.8325
"Sonny Callahan Airport, AL","KCQF",30.47,-87.88
"Vaiden Fld Airport, AL","KPLR",33.5588,-86.2491
"Dexter B Florence Memorial Field, AR","KASN",33.5699,-86.0509
"Troy, Troy Municipal Airport, AL","KTOI",31.8604,-86.0121
"Conway - Cantrell Field, AR","KTCL",33.2206,-87.6114
"St Clair County Airport, AL","KA08",33.5588,-86.2491
"SCHELL AHP, AL","KBVX",35.7262,-91.6473
"Hot Springs, Memorial Field Airport, AR","KBPK",36.3689,-92.4705
"Baxter County Airport, AR","KVBT",36.3457,-94.2193
"Mobile, Mobile Downtown Airport, AL","KHKA",35.9404,-89.8308
"Flippin, Marion County Regional Airport, AR","KCDH",33.6228,-92.7634
"Talladega Municipal Airport, AL","KCCA",35.5978,-92.4516
"Tuscaloosa Regional Airport, AL","KCXW",35.01989,-92.55511
"Camden / Harrell Field, AR","K4M9",33.61667,-92.76667
"Corning Municipal Airport, AR","KDEQ",34.047,-94.3994
"Batesville, Batesville Regional Airport, AR","KADF",34.1,-93.07
"Eaker Air Force Base, AR","KBYH",35.9643,-89.944
"Fayetteville, Drake Field, AR","KFYV",36.0051,-94.1701
"Mount Ida, AR","KFLP",36.2909,-92.5903
"Harrison, Boone County Airport, AR","KFSM",35.3366,-94.3674
"Jonesboro, Jonesboro Municipal Airport, AR","KHRO",36.2615,-93.1547
"Bentonville, Bentonville Municipal Airport/Louise M Thaden Field, AR","KHOT",34.478,-93.0962
"South Arkansas Regional Airport, AR","KJBR",35.8317,-90.6464
"Little Rock Air Force Base, AR","KLRF",34.9169,-92.1497
"Saline County Regional Airport, AR","KLIT",34.7294,-92.2243
"Siloam Springs, Smith Field Airport, AR","KMEZ",34.5454,-94.2027
"Monticello, Monticello Municipal Airport/Ellis Field, AR","KLLQ",33.6386,-91.751
"De Queen, J Lynn Helms Sevier County Airport, AR","KMWT",34.55,-93.58
"Flagstaff Pulliam Airport, AZ","KM19",35.14433,-111.66637
"Fort Smith Regional Airport, AR","KXNA",36.2819,-94.3068
"Northwest Arkansas Regional Airport, AR","KPBF",34.1731,-91.9356
"Newport, Newport Municipal Airport, AR","KROG",36.3723,-94.1069
"West Memphis, West Memphis Municipal Airport, AR","KRUE",35.2591,-93.0933
"Little Rock, Adams Field, AR","KSUZ",34.5906,-92.4794
"Havasu City Airport, AZ","KSRC",35.2106,-91.7375
"Bullhead City, Laughlin/Bullhead International Airport, AZ","KSLG",36.1919,-94.49
"Texarkana, Texarkana Regional-Webb Field, AR","KELD",33.221,-92.8133
"Payson Airport, AZ","KASG",36.1764,-94.1193
"Walnut Ridge Regional Airport, AR","KSGT",34.5995,-91.575
"Pine Bluff, Grider Field Airport, AR","KTXK",33.4537,-93.991
"Stuttgart, Stuttgart Municipal Airport, AR","KARG",36.12467,-90.92511
"Russelville Municipal Airport, AR","KAWM",35.1351,-90.2344
"Mena, Mena Intermountain Municipal Airport, AR","KA39",34.54528,-94.2025
"Safford, Safford Municipal Airport, AZ","KDUG",31.469,-109.604
"Bisbee Douglas International Airport, AZ","KBXK",33.4204,-112.686
"Ak-Chin Regional Airport, AZ","KIFP",35.1574,-114.56
"Buckeye Municipal Airport, AZ","KCGZ",32.9549,-111.767
"Glendale, Glendale Municipal Airport, AZ","KCHD",33.2691,-111.811
"Colorado City, Colorado City Municipal Airport, AZ","KAZC",36.9599,-113.014
"Coolidge Municipal Airport, AZ","KP08",32.9359,-111.4265
"Davis-Monthan Air Force Base, AZ","KDMA",32.1665,-110.883
"Rogers - Rogers Executive Airport - Carter Field, AR","KFLG",35.1385,-111.671
"Fort Huachuca, Libby AAF Ft Huachuca, AZ","KFHU",31.5885,-110.344
"Phoenix-Mesa Gateway Airport, AZ","KGXF",32.87,-112.72
"Searcy Municipal Airport, AR","KGEU",33.5269,-112.295
"Goodyear Municipal, AZ","KGYR",33.4225,-112.376
"Winslow, Winslow Municipal Airport, AZ","KGCN",35.9524,-112.147
"Springdale Municipal, AR","KHII",34.5711,-114.358
"Grand Canyon National Park Airport, AZ","KIGM",35.2595,-113.938
"Show Low, Show Low Regional Airport, AZ","KLUF",33.535,-112.383
"Chandler, Chandler Municipal Airport, AZ","KFFZ",33.4608,-111.728
"Nogales, Nogales International Airport, AZ","KOLS",31.4177,-110.848
"Phoenix, Phoenix Sky Harbor International Airport, AZ","KPGA",36.9261,-111.448
"Mesa / Falcon Field, AZ","KPAN",34.2568,-111.339
"Page, Page Municipal Airport, AZ","KPHX",33.4343,-112.012
"Tucson, Tucson International Airport, AZ","KDVT",33.6883,-112.083
"Gila Bend Air Force Auxiliary Field, AZ","KIWA",33.3078,-111.655
"Pioneer Airfield, AZ","KALK",31.6,-110.43
"Bishop, Bishop Airport, CA","KPRC",34.6545,-112.42
"Casa Grande, Casa Grande Municipal Airport, AZ","KSAD",32.8548,-109.635
"Scottsdale Airport, AZ","KSDL",33.6229,-111.911
"Sedona Airport, AZ","KSEZ",34.8486,-111.788
"Luke Air Force Base / Phoenix, AZ","KSOW",34.2655,-110.006
"Springerville Municipal Airport, AZ","KJTC",34.13,-109.32
"Camarillo, Camarillo Airport, CA","KSJN",34.5186,-109.379
"Taylor Airport, AZ","KTYL",34.4528,-110.115
"Crescent City, Jack McNamara Field Airport, CA","KAVQ",32.4096,-111.218
"Tucson Ryan Field Airport, AZ","KRYN",32.1422,-111.175
"Kingman, Kingman Airport, AZ","KTUS",32.1161,-110.941
"Fresno, Fresno Air Terminal, CA","KCMR",35.3022,-112.194
"Yuma Auxiliary Airfield, AZ","KRQE",35.6521,-109.067
"Phoenix, Phoenix-Deer Valley Municipal Airport, AZ","KINW",35.0219,-110.723
"Window Rock, Window Rock Airport, AZ","KNOZ",32.5,-114.45
"Chico Municipal Airport, CA","KNYL",32.6566,-114.606
"Avalon Catalina Airport, CA","KAAT",41.483,-120.565
"Arcata / Eureka, Arcata Airport, CA","KACV",40.9781,-124.109
"Blythe, Blythe Airport, CA","KAUN",38.9548,-121.082
"Alturas, CA","KAVX",33.4049,-118.416
"Chino, Chino Airport, CA","KBFL",35.4336,-119.057
"Big Bear City Airport, CA","KL35",34.2638,-116.856
"Brackett Field Airport, CA","KBIH",37.3731,-118.364
"Burbank - Bob Hope Airport, CA","KBLH",33.6192,-114.717
"Campo, CA","KL08",32.62611,-116.46833
"Prescott, Love Field, AZ","KPOC",34.0916,-117.782
"Edwards Air Force Base, CA","KBUR",34.2007,-118.359
"Byron, CA","KC83",37.8276,-121.6244
"St. Johns, St. Johns Industrial Airpark, AZ","KCMA",34.2137,-119.094
"Los Alamitos Army Airfield, CA","KCZZ",32.63,-116.47
"General Wm J Fox Airfield, CA","KCRQ",33.1283,-117.28
"Yuma, Marine Corps Air Station, AZ","KCIC",39.7954,-121.858
"Gillespie Field Airport, CA","KNID",35.6854,-117.692
"Bakersfield, Meadows Field Airport, CA","KCNO",33.9747,-117.637
"Emigrant Gap, Blue Canyon Nyack Airport, CA","KO22",39.27611,-120.70806
"Fullerton, Fullerton Municipal Airport, CA","KCCR",37.9897,-122.057
"Corona Airport, CA","KAJO",33.8977,-117.602
"Tucson Marana Regional Airport, AZ","KCEC",41.7802,-124.237
"Borrego Valley Airport, CA","KDAG",34.8537,-116.787
"Lemoore Naval Air Station - Reeves Field, CA","KEDW",34.9054,-117.884
"Williams/Clark Memorial Airport, AZ","K9L2",35.3054722,-112.1943889
"Merced / Castle Air Force Base, CA","KNJK",32.8292,-115.672
"Livermore, Livermore Municipal Airport, CA","KEMT",34.0861,-118.035
"COLUMBIA, CA","KBLU",39.275,-120.71
"Lompoc, Lompoc Airport, CA","KSUU",38.2627,-121.927
"Daggett, Barstow-Daggett Airport, CA","KL18",34.85361,-116.78667
"Auburn Municipal Airport, CA","KBYS",35.2805,-116.63
"Mount Shasta, CA","KFOT",40.5539,-124.133
"Half Moon Bay Airport, CA","KFCH",36.7324,-119.82
"Edwards Air Force Auxiliary North Base, CA","KFAT",36.7762,-119.718
"Concord, Buchanan Field, CA","KFUL",33.872,-117.98
"Carlsbad, McClellan-Palomar Airport, CA","KWJF",34.7411,-118.219
"Hawthorne, Hawthorne Municipal Airport, CA","KSEE",32.8262,-116.972
"Fresno Chandler Executive Airport, CA","KHAF",37.5134,-122.501
"Palm Springs, Jacqueline Cochran Regional Airport, CA","KHJO",36.3167,-119.628
"Fort Irwin/Barstow, Bicycle Lake Army Airfield, CA","KHHR",33.9228,-118.335
"Hayward, Hayward Air Terminal, CA","KHWD",37.6592,-122.122
"Marysville, Beale Air Force Base, CA","KCVH",36.9,-121.42
"Imperial Beach Naval Outlying Field - Ream Field, CA","KNRS",32.5667,-117.117
"Imperial, Imperial County Airport, CA","KIPL",32.8342,-115.579
"Point Mugu, Naval Air Warfare Center, CA","KSNA",33.6757,-117.868
"China Lake, Naval Air Facility, CA","KNLC",36.333,-119.952
"Lincoln Regional Karl Harder Field, CA","KLHM",38.9092,-121.351
"Mojave, CA","KLVK",37.6934,-121.82
"Fallbrook Community Airpark, CA","KLPC",34.6656,-120.468
"Red Bluff, Red Bluff Municipal Airport, CA","KVBG",34.7373,-120.584
"Long Beach, Long Beach Airport, CA","KLGB",33.8177,-118.152
"Fairfield / Travis Air Force Base, CA","KSLI",33.79,-118.052
"Los Angeles / USC Campus Downtown, CA","KCQT",34.02,-118.28
"Los Angeles, Los Angeles International Airport, CA","KLAX",33.9425,-118.408
"Los Angeles, Whiteman Airport, CA","KWHP",34.2593,-118.413
"Madera Municipal Airport, CA","KMAE",36.9886,-120.112
"Mammoth Yosemite Airport, CA","KMMH",37.6241,-118.838
"Hollister, CA, CA","KBAB",39.1361,-121.437
"Oroville Municipal Airport, CA","KMYV",39.0978,-121.57
"Oceanside, Camp Pendleton, Marine Corps Air Station, CA","KBAN",38.35,-119.52
"El Centro, Naval Air Facility, CA","KMER",37.3805,-120.568
"San Jose / Reid / Hillv, CA","KMCE",37.2847,-120.514
"Modesto City-County Airport - Harry Sham Field, CA","KMOD",37.6258,-120.954
"El Monte, CA","KMHV",35.0594,-118.152
"Montague Siskiyou County Airport, CA","KSIY",41.7814,-122.468
"Needles, Needles Airport, CA","KMRY",36.587,-121.843
"Fortuna Rohnerville Airport, CA","KMHS",41.32,-122.32
"Santa Maria Public Airport/Capt G Allan Hancock Field, CA","KNUQ",37.4161,-122.049
"San Nicolas Island Naval Outlying Field, CA","KF70",33.23379,-119.45588
"Napa, Napa County Airport, CA","KAPC",38.2132,-122.281
"Monterey Regional Airport, CA","KEED",34.7663,-114.623
"San Diego, Brown Field Municipal Airport, CA","KGOO",39.224,-121.003
"Novato / Gnoss Field, CA","KDVO",38.1436,-122.556
"Ramona, Ramona Airport, CA","KOAK",37.7213,-122.221
"Oceano County Airport, CA","KL52",35.10147,-120.62236
"Hanford Municipal Airport, CA","KNFG",33.3013,-117.355
"Oceanside, Oceanside Municipal Airport, CA","KOKB",33.2173,-117.354
"Ontario International Airport, CA","KONT",34.056,-117.601
"MCMWTC BRIDGEPORT, CA","KOVE",39.4878,-121.622
"Santa Ynez, Santa Ynez Airport, CA","KOXR",34.2008,-119.207
"Twentynine Palms SELF Airport, CA","KPSP",33.8297,-116.507
"Marysville, Yuba County Airport, CA","KTRM",33.6267,-116.16
"San Diego, North Island, Naval Air Station, CA","KPMD",34.6294,-118.085
"Palo Alto Airport, CA","KPAO",37.4611,-122.115
"Paso Robles Municipal Airport, CA","KPRB",35.6729,-120.627
"Visalia, Visalia Municipal Airport, CA","KO69",36.31667,-119.4
"Sandberg, CA","KPVF",38.7242,-120.753
"Lompoc, Vandenberg Air Force Base, CA","KNTD",34.1203,-119.121
"Mountain View, Moffett Field, CA","KPTV",36.0296,-119.063
"Murrieta/Temecula French Valley, CA","KRNM",33.0392,-116.915
"John Wayne-Orange County Airport, CA","KRBL",40.1507,-122.252
"San Francisco, San Francisco International Airport, CA","KRDD",40.509,-122.293
"March Air Reserve Base, CA","KRIV",33.8807,-117.259
"Sacramento Mather Airport, CA","KRAL",33.9519,-117.445
"Sacramento Executive Airport, CA","KSAC",38.5125,-121.493
"San Carlos Airport, CA","KSMF",38.6954,-121.591
"Riverside Municipal Airport, CA","KMHR",38.5539,-121.298
"South County Airport of Santa Clara County, CA","KMCC",38.6676,-121.401
"Central Colorado Regional Airport, CO","KSNS",36.6628,-121.606
"Merced Regional Airport, CA","KSBD",34.0954,-117.235
"Sacramento International Airport, CA","KSQL",37.5119,-122.25
"San Clemente Island NALF, CA","KNUC",33.0227,-118.588
"Nevada County Air Park, CA","KSDM",32.5723,-116.98
"San Diego, Miramar MCAS/Mitscher Field Airport, CA","KNKX",32.8684,-117.143
"Cottonwood Pass, CO","KMYF",32.8157,-117.14
"San Bernardino Intl. Airport, CA","KNZY",32.6992,-117.215
"San Diego International Airport, CA","KSAN",32.7336,-117.19
"Astronaut Kent Rominger - Del Norte, CO","KSFO",37.619,-122.375
"Palmdale, Palmdale Production Flight Plant, CA","KRHV",37.3329,-121.819
"San Jose, San Jose International Airport, CA","KSJC",37.3626,-121.929
"San Luis Obispo, San Luis Obispo County-Mc Chesney Field, CA","KSBP",35.2368,-120.642
"Oakland, Metro Oakland International Airport, CA","KNSI",33.2398,-119.458
"Placerville Airport, CA","KSDB",34.75,-118.72
"Santa Barbara, Santa Barbara Municipal Airport, CA","KSBA",34.4262,-119.84
"Porterville, Porterville Municipal Airport, CA","KSMX",34.8989,-120.457
"Santa Monica, Santa Monica Municipal Airport, CA","KSMO",34.0158,-118.451
"Santa Rosa, Santa Rosa Sonoma County Airport, CA","KSTS",38.509,-122.813
"Oxnard, Oxnard Airport, CA","KIZA",34.6068,-120.076
"Sacramento, McClellan Airfield Airport, CA","KE16",38.66667,-121.4
"Broomfield / Jeffco, CO","KTVL",38.8939,-119.995
"Stockton, Stockton Metropolitan Airport, CA","KSCK",37.8942,-121.238
"Greeley, Greeley-Weld County Airport, CO","KSVE",40.3757,-120.573
"Denver - Centennial Airport, CO","KTSP",35.135,-118.439
"Torrance, Zamperini Field Airport, CA","KTOA",33.8034,-118.34
"Trinity Center, CA","KO86",40.98452,-122.69342
"Truckee-Tahoe, CA","KTRK",39.32,-120.14
"Palm Springs Regional Airport, CA","KNXP",34.2962,-116.162
"Aspen-Pitkin County Airport, CO","KUKI",39.126,-123.201
"University Airport, CA","KEDU",38.5315,-121.786
"Vacaville Nut Tree Airport, CA","KVCB",38.3768,-121.962
"Van Nuys, Van Nuys Airport, CA","KVNY",34.2098,-118.49
"Susanville Municipal Airport, CA","KVCV",34.5975,-117.383
"Petaluma Municipal Airport, CA","KVIS",36.3187,-119.393
"Weaverville, CA","KWVI",36.9357,-121.79
"Watsonville, Watsonville Municipal Airport, CA","KO54",36.93944,-121.78889
"Salinas, Salinas Municipal Airport, CA","KJAQ",38.37,-120.8
"Air Force Academy, CO","KAFF",38.9697,-104.813
"Copper Mountain - Red Cliff Pass, CO","KASE",39.2232,-106.869
"Redding Municipal Airport, CA","KRCV",37.72,-106.35
"Boulder Municipal Airport, CO","K0CO",40.0394297,-105.2258217
"Berthoud Pass, CO","KBDU",40.0394,-105.226
"South Lake Tahoe, Lake Tahoe Airport, CA","KBJC",39.9088,-105.117
"Buckley Air Force Base Airport, CO","KBKF",39.7017,-104.752
"Garfield County Regional Airport, CO","KITR",39.2425,-102.285
"Westover Field - Amador County Airport, CA","KAEJ",38.8142,-106.121
"Cortez-Montezuma County Airport, CO","KCWN",38.75,-104.85
"Hayden, Yampa Valley Airport, CO","KCOS",38.8058,-104.701
"Colorado Plains Regional Airport, CO","KAKO",40.1756,-103.222
"La Junta Municipal Airport, CO","KCCU",39.48,-106.15
"Saguache, Saguache Municipal Airport, CO","KCEZ",37.303,-108.628
"San Diego, Montgomery Field, CA","K7BM",32.81444,-117.13639
"Granby-Grand County Airport, CO","KCAG",40.4952,-107.522
"Craig-Moffat Airport, CO","KAJZ",38.7864,-108.064
"Tehachapi Municipal Airport, CA","KAPA",39.5701,-104.849
"Denver Nexrad, CO","KFTG",39.7853,-104.543
"Denver, Denver International Airport, CO","KDEN",39.8617,-104.673
"Durango-La Plata County Airport, CO","KDRO",37.1515,-107.754
"Holyoke Airport, CO","KEGE",39.6426,-106.918
"Elbert Mountain - Monument Pass, CO","KMNH",39.22,-104.65
"ELLICOTT-B AFA, CO","KABH",38.75,-104.3
"City of Colorado Springs Municipal Airport, CO","KEIK",40.0102,-105.048
"Delta/Blake Field Airport, CO","KFCS",38.6784,-104.757
"Fort Collins/Loveland - Northern Colorado Regional Airport, CO","KFNL",40.4518,-105.011
"Meeker Airport, CO","KFMM",40.3336,-103.804
"Perry Stokes Airport, CO","K1V6",37.26218,-104.33184
"Burlington - Carson County Airport, CO","KRIL",39.5263,-107.727
"Limon Municipal Airport, CO","KGNB",40.0897,-105.917
"Wilkerson Pass, CO","KGJT",39.1224,-108.527
